already complexed:  909009694.xml | 11670 | Alföldi Tej Értékesítő És Beszerző Kft. | Alföldi Tej Értékesítő és Beszerző Korlátolt Felelősségű Társaság
MATCHED:     | 1509067871.xml | 4419 | KI-TAKARÍT KFT. | KI-TAKARÍT Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1506085547.xml | 6500 | Nyírmagiszter BT | NYÍRMAGISZTER Oktatásszervező, Szolgáltató és Kereskedelmi Betéti Társaság
MATCHED:     | 409005749.xml | 6843 | Körös-Consult Kft. | Körös-Consult Tervező és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109710062.xml | 7467 | BULL Magyarország Kft. | BULL Magyarország Számítástechnikai Kft.
MATCHED:     | 1409310719.xml | 2324 | Univerzum Kft. | "Univerzum ajándéka" Korlátolt Felelősségű Társaság
MATCHED:     | 114000283.xml | 23594 | HM ZRÍNYI Kommunikációs Szolgáltató Közhasznú Társaság | HM ZRÍNYI Kommunikációs Szolgáltató Közhasznú Társaság
MATCHED:     | 309112922.xml | 6518 | EUROPETRADE Kft. | EUROPETRADE FLOORING Kereskedelmi és Vállalkozási Korlátolt Felelősségű Társaság
MATCHED:     | 110046159.xml | 5458 | Hinterland Mérnöki Iroda Zrt. | HINTERLAND Mérnöki Iroda Zártkörűen Működő Részvénytársaság
MATCHED:     | 109885779.xml | 6770 | SOLARTIS Kft. | SOLARTIS Megújuló Energiahasznosító Korlátolt Felelősségű Társaság
MATCHED:     | 109467099.xml | 3889 | Frankó Kati Kft. | Frankó Kati Kereskedelmi, Termelő és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 610000360.xml | 2875 | Kontiki-Szakképző Zrt. | KONTIKI-SZAKKÉPZŐ Szakképzés Szervezési Nonprofit Kiemelkedően Közhasznú Zártkörűen Működő Részvénytársaság
MATCHED:     | 1610001563.xml | 4256 | NEFAG Zrt. | NEFAG Nagykunsági Erdészeti és Faipari Zártkörűen Működő Részvénytársaság
MATCHED:     | 109709673.xml | 20224 | Épkomplex Kft. | ÉPKOMPLEX 2002 Kereskedelmi és Szolgáltató Korlátolt Felelősségű TársaságÉPKOMPLEX 2002 Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 109668632.xml | 4727 | Mölnlycke Health Care Kft. | Mölnlycke Health Care Termelő, Kereskedelmi és Szolgáltató Korlátolt Felelősségű TársaságMölnlycke Health Care Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 809016969.xml | 6330 | NymE-ERFARET Nyugat-magyarországi Egyetem Erdő- és Fahasznosítási Tudásközpont Nonprofit Kft. | NymE-ERFARET Nyugat-magyarországi Egyetem Erdő- és Fahasznosítási Tudásközpont Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 109902875.xml | 6128 | Kiwi-Co Kft. | KIWI-CO Kereskedőház Kft.
MATCHED:     | 109888983.xml | 20290 | Buda Square 2007. Kft. | Buda Square 2007 Kft.
MATCHED:     | 109882147.xml | 2247 | Vis Verum Kft. | VIS VERUM Ingatlanberuházó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 509003847.xml | 6429 | Belovecz és Társa Hús és Hentesáru Kereskedelmi Kft. | Belovecz és Társa Hús- és Hentesáru Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 110043529.xml | 2265 | Tonlor Hungary Rt. | TONLOR HUNGARY Pénzügyi és Befektetési Tanácsadó Részvénytársaság
MATCHED:     | 109072543.xml | 5016 | Renault Hungária Kft. | Renault Hungária Autómobil Korlátolt Felelősségű TársaságRenault Hungária Gépjárműkereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1309063383.xml | 2573 | Elastic ’91 Kft. | ELASTIC'91 Termelż, Szolgáltató és Kereskedelmi Korlátolt Felelżsségż Társaság
MATCHED:     | 109705399.xml | 895 | BR Med-Support Kft. | BR MED-Support Szolgáltató Korlátolt Felelősségű Társaság "végelszámolás alatt"
MATCHED:     | 1910500215.xml | 6115 | Boroszlán Építő - Szolgáltató - Tervező Zrt. | "BOROSZLÁN" Építő-Szolgáltató-Tervező Zártkörűen Működő Részvénytársaság
MATCHED:     | 109070065.xml | 1375 | Delta Elektronik Kft. | Delta Elektronik Műszaki Korlátolt Felelősségű Társaság
MATCHED:     | 1109012006.xml | 6056 | Barina Ingatlanforgalmazó Kft. | Barina Ingatlanforgalmazó és Fejlesztő Korlátolt Felelősségű Társaság
MATCHED:     | 110042113.xml | 3122 | Castellum Rt. | CASTELLUM Kereskedelmi és Szolgáltató Részvénytársaság
MATCHED:     | 109065879.xml | 5006 | Tipexpo Kft. | TIPEXPO Kereskedelmi és Szolgáltató korlátolt felelősségü társaság
MATCHED:     | 2009062518.xml | 5306 | RÁ-THERM ’96 Kft. | RÁ-THERM Tüzeléstechnikai és Szolgáltató Korlátolt Felelősségű TársaságRÁ-THERM 96. Tüzeléstechnikai és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110044007.xml | 2948 | REORG Gazdasági és Pénzügyi Zrt. | REORG Gazdasági és Pénzügyi RészvénytársaságREORG-APPORT Pénzügyi Zártkörűen Működő Részvénytársaság
MATCHED:     | 109704653.xml | 6755 | SchmidtGép 2002 Kft. | SchmidtGép 2002 Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 309115906.xml | 7584 | Hírös Fóliaház Kft. | Hírös Fóliaház Kereskedelmi Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1109009357.xml | 1135 | Works Team Kft. | WORKS TEAM Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 214000013.xml | 21358 | Siklósi Kórház Közhasznú Társaság | Siklósi Kórház Közhasznú Társaság
MATCHED:     | 109073792.xml | 20500 | Civil Biztonsági Szolgálat Személy-és Vagyonvédelmi Korlátolt Felelősségű Társaság | Civil Biztonsági Szolgálat Személy- és Vagyonvédelmi KFT.
MATCHED:     | 509001673.xml | 6613 | Dopex Építő, Szolgáltató és Kereskedelmi Kft. | DOPEX Peremiczki Építő, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1009020783.xml | 4182 | Detki Keksz Kft. | DETKI KEKSZ Édesipari Kft.
MATCHED:     | 1510040131.xml | 456 | Agro-City Zrt. | AGRO-CITY Mezőgazdasági Zártkörűen Működő Részvénytársaság
MATCHED:     | 109260369.xml | 7458 | F. és F. Kft. | '96 Beruházásszervező és Fővállalkozó Korlátolt Felelősségű Társaság'96 Beruházásszervező és Fővállalkozó Korlátolt Felelősségű Társaság "végelszámolás alatt" "felszámolás alatt"
MATCHED:     | 1309061304.xml | 2340 | Axis Kft. | "AXIS" Müemlékfelujitó Fővállalkozó és Kivitelező Korlátolt Felelősségű Társaság
MATCHED:     | 709012630.xml | 6827 | d Projekt Bútor Belsőépítészeti Tervező és Kivitelező Kft. | D Projekt Bútor Belsőépítészeti Tervező és Kivitelező Korlátolt Felelősségű Társaság
MATCHED:     | 2009061085.xml | 21300 | GRÓTI PÉKSÉG Sütő- és Édesipari Korlátolt Felelősségű Társaság | "Gróti Pékség" Sütő- és Édesipari Korlátolt Felelősségű Társaság
MATCHED:     | 809003052.xml | 3257 | Pannon Baromfi Kft | Pannon Baromfifeldolgozó és Értékesítő Korlátolt Felelősségű Társaság
MATCHED:     | 1309134181.xml | 6308 | SALISBURY Kft. | Salisbury Régészeti Korlátolt Felelősségű Társaság
MATCHED:     | 109713677.xml | 5735 | Elster Méréstechnika Kft. | Elster Méréstechnika Korlátolt Felelősségű Társaság
MATCHED:     | 309109930.xml | 6268 | Kalo-Bau Kft. | KALO-BAU Építőipari és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 510000370.xml | 565 | DAM Steel Rt. | DAM Steel Speciális Acélgyártó Rt.
MATCHED:     | 1309101780.xml | 2841 | Cefam Hungary Kft. | CEFAM HUNGARY Korlátolt Felelősségű Társaság
MATCHED:     | 809014663.xml | 1718 | TELECO Kft. | TELECO Ingatlanforgalmazó Korltátolt Felelősségű Társaság
MATCHED:     | 710000135.xml | 5047 | SZIMFÉK Székesfehérvári Metál Fék- és Köszörűgépgyár Zrt. | SZIMFÉK Székesfehérvári Metal Fék- és Köszörűgépgyár Zártkörűen Működő Részvénytársaság
MATCHED:     | 1509063276.xml | 14938 | Ibránytej Kft. | "IBRÁNYTEJ" Állattenyésztő és Tejtermelő Korlátolt Felelősségű Társaság
MATCHED:     | 109925645.xml | 2554 | Dady Kft. | Dady Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110043300.xml | 2879 | Dominancia Rt. | DOMINANCIA Vagyonkezelő és Kereskedelmi Részvénytársaság
MATCHED:     | 110044926.xml | 59 | Eclipse Informatikai Rt. | ECLIPSE Informatikai Rendszerház zártkörűen működő Részvénytársaság
MATCHED:     | 109070792.xml | 5497 | Frank Diagnosztika Kft. | FRANK Diagnosztika Korlátolt Felelősségű Társaság
MATCHED:     | 309000403.xml | 5296 | Interkerám Kft. | INTERKERÁM Kerámia Alapanyaggyártó és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 609006971.xml | 1743 | Fuziomed Kft. | FUZIOMED Egészségügyi Szervező és Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 109886030.xml | 472 | Csepeli Hőszolgáltató Kft. | Csepeli Hőszolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 709004010.xml | 2029 | Alba-Supellex Kft. | ALBA-SUPELLEX 2000 Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109564512.xml | 3845 | Dimex Uno Kft. | DIMEX UNO Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 909002876.xml | 3656 | Magyar Aszfalt Kft. | Magyar Aszfalt H Építő és Szolgáltató Korlátolt Felelősségű Társaság "f. a."
MATCHED:     | 1809101225.xml | 3711 | MÁV Vasjármű Kft. | MÁV VASJÁRMŰ Járműjavító és Gyártó korlátolt Felelősségű Társaság
MATCHED:     | 1309126683.xml | 2997 | Grindex-Sec Kft. | GRINDEX-SEC Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 909004768.xml | 7056 | Tip-Top '92. Kft. | "TIP-TOP 92" Ipari és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1410300008.xml | 540 | Kaposvári Városgazdálkodási Rt. (KVG Rt.) | Kaposvári Városgazdálkodási Zártkörűen Működő Részvénytársaság
MATCHED:     | 1409303079.xml | 5729 | Pipecontrol Kft. | PIPECONTROL Mérnöki Iroda Korlátolt Felelősségű Társaság
MATCHED:     | 109269486.xml | 4729 | MÁV Vasútépítő-Gépellátó és Szolgáltató Kft. | MÁV Vasútépítő-Gépellátó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1909504117.xml | 6238 | Bradimpex Kft. | BRADIMPEX Húsfeldolgozó és Kereskedelmi Korlátolt Felelősségű TársaságBRADIMPEX Húsfeldolgozó és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 110044178.xml | 2603 | OKFON Közbeszerzési Rt. | OKFON Közbeszerzési és Szolgáltatási Zártkörűen Működő Részvénytársaság
MATCHED:     | 109690932.xml | 6006 | Eurotrade Kft. | "EUROTRADE Ltd" Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109682145.xml | 1356 | FCI Hungary Kft. | FCI Connectors Hungary Csatlakozó és Kiegészítő Termék Gyártó és Értékesitő Korlátolt Felelősségű Társaság
MATCHED:     | 109260989.xml | 21534 | ERBE ENERGETIKA Mérnökiroda Korlátolt Felelősségű Társaság | ERBE ENERGETIKA Mérnökiroda Korlátolt Felelősségű Társaság
MATCHED:     | 109907509.xml | 7508 | NadCom Informatikai Kft. | NADCOM Informatikai Korlátolt Felelősségű Társaság
MATCHED:     | 809012182.xml | 16874 | Mvr 2004 Tejtermelő És Szolgáltató Kft. | MVR 2004 Tejtermelő és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309098275.xml | 3660 | Perkons Ipari és Kereskedelmi Szolgáltató Kft. | PERKONS Ipari és Kereskedelmi Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110043798.xml | 5541 | Kalotherm Építészeti és Épületgépészeti Zrt. | KALOTHERM Építészeti és Épületgépészeti zártkörűen működő részvénytársaság
MATCHED:     | 1309107233.xml | 5519 | RB-Med Kft. | rb med Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 909002196.xml | 5396 | Debrecen Városi Televízió Kft. | Debrecen Városi Televizió Korlátolt Felelősségű Társaság
MATCHED:     | 109063082.xml | 636 | Pentaton Művész- és Koncertügynökség Kft. | PENTATON Művész és Koncertügynökség Korlátolt Felelősségű Társaság
MATCHED:     | 109369308.xml | 3624 | Technotrade Kft. | A. S. TechnoTrade Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109865185.xml | 5266 | C.S.T. - KOMPLEX Mérnöki Szolgáltató és Vállalkozó Kft. | C. S. T. - KOMPLEX Mérnöki Szolgáltató és Vállalkozó Korlátolt Felelősségű Társaság
MATCHED:     | 510000070.xml | 1309 | Continental Dohányipari Zrt. | Continental Dohányipari Zártkörűen Működő Részvénytársaság
MATCHED:     | 510000078.xml | 1505 | Csőszer Rt. | "CSŐSZER" Berendezéseket Szerelő Rt.
MATCHED:     | 110044933.xml | 1162 | Pátria CONSULT Gazdasági Tanácsadó és Vagyonkezelő Zrt. | PÁTRIA CONSULT Gazdasági Tanácsadó és Vagyonkezelő Zártkörűen Működő Részvénytársaság
MATCHED:     | 1110001395.xml | 23872 | Bábolna Rt. VA | BÁBOLNA Mezőgazdasági Termelő, Fejlesztő és Kereskedelmi Zártkörűen Működő Részvénytársaság "felszámolás alatt"
MATCHED:     | 209060233.xml | 3451 | Multi-Alarm Kft. | "MULTI ALARM" Biztonságtechnikai,Fejlesztő, Kereskedelmi és Szolgáltato Korlátolt Felelősségű Társaság
MATCHED:     | 1309125127.xml | 6406 | DECCORUM ÉPÍTŐIPARI KERESKEDELMI ÉS SZOLGÁLTATÓ Kft. | DECCORUM Építőipari Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109927417.xml | 560 | Myself Consulting Kft. | Myself Consulting Korlátolt Felelősségű Társaság
MATCHED:     | 609012676.xml | 5254 | Öthalmi Beruházó és Ingatlanhasznosító Kft. | Öthalmi Beruházó és Ingatlanhasznosító Korlátolt Felelősségű Társaság
MATCHED:     | 114000350.xml | 22152 | Thália Színház Közhasznú Társaság | Thália Színház Közhasznú Társaság
MATCHED:     | 109362227.xml | 2485 | Canon Hungaria Kft. | CANON HUNGARIA Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1206004756.xml | 3637 | MEZOÉV Bt. | MEZOÉV Oktatásszervező és Pedagógiai Tanácsadó Betéti Társaság
MATCHED:     | 110043108.xml | 3657 | Állami Autópálya Kezelő Zrt. | Állami Autópálya Kezelő Zártkörűen működő Részvénytársaság
MATCHED:     | 609014863.xml | 7294 | MédiaInfo Broker Kft. | MÉDIAINFO BROKER Kereskedelmi és Műsorszolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1609001063.xml | 3770 | KEVITERV AKVA Kft. | KEVITERV AKVA Mérnöki Vállalkozási Kft
MATCHED:     | 1309084784.xml | 4819 | Jusec Biztonsági Szolgáltató Kft. | JUSEC Biztonsági Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1109007038.xml | 6121 | FTK Építő Kft. | FTK Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 609001132.xml | 22889 | GÁZÉPSZERKER Építő-, Szerelő, Kereskedő és Szolgáltató Kft. | "GÁZÉPSZERKER" Épitő-Szerelő-Kereskedő és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109693238.xml | 7069 | TRANSZIN Kft. | TRANSZIN Közlekedésmérnöki Iroda Kft.
MATCHED:     | 1309114683.xml | 1754 | K-Immobile Kft. | K-Immobile Ingatlanforgalmazó, Tanácsadó és Üzleti Korlátolt Felelősségű Társaság
MATCHED:     | 109874815.xml | 2014 | Negril Kft. | NEGRIL Ingatlanfejlesztő és Beruházó Kft.
MATCHED:     | 109567051.xml | 1727 | Bankhíd Kft. | BANKHÍD Ingatlanhasznosító és Pénzügyi Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 909014094.xml | 2245 | Paraklétosz Nonprofit Kft. | "Paraklétosz" Kegyeleti Szolgáltató Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 109161463.xml | 2205 | M.P.A. Budapest Kft. | M. P. A. Budapest Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109683077.xml | 5661 | BOHUS Biztonsági Szolgálat Kft. | BOHUS Biztonsági Szolgálat Információs és Szolgáltató Kft.
MATCHED:     | 109861517.xml | 797 | Pendola Invest Kft. | "PENDOLA INVEST" Távközlési és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1209002008.xml | 3086 | Mahir Salgótarján Kft. | MAHIR SALGÓTARJÁN Korlátolt Felelősségű Társaság
MATCHED:     | 110045753.xml | 3973 | ORANGEWAYS Autóbuszos Közúti Közlekedési Zártkörűen Működő Részvénytársaság | ORANGEWAYS Autóbuszos Közúti Közlekedési Zártkörűen Működő Részvénytársaság
MATCHED:     | 1306012476.xml | 20283 | PATINA BT. | "PATINA" Épitőipari Kivitelező és Szolgáltató Betéti Társaság
MATCHED:     | 109880217.xml | 1243 | Evital-MOM Kft. | Evital-MOM Gyógyszertár Kft.
MATCHED:     | 1310040640.xml | 5068 | EUROFLOW Zrt. | EUROFLOW Kereskedelmi Szolgáltató és Mérnöki Tanácsadó Zártkörűen Működő Részvénytársaság
MATCHED:     | 109689401.xml | 22385 | P and P Mérlegdoktor Könyvvizsgáló Korlátolt Felelősségű Társaság | P and P Mérlegdoktor Könyvizsgáló Korlátolt Felelősségű TársaságP and P Mérlegdoktor Könyvvizsgáló Korlátolt Felelősségű Társaság
MATCHED:     | 209066886.xml | 5503 | SOFT FLOW HUNGARY Kft. | SOFT FLOW HUNGARY Kutató Fejlesztő Korlátolt Felelősségű Társaság
MATCHED:     | 909019337.xml | 7180 | TÖMB 2002 Szolgáltató Kft. | TÖMB 2002 Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109701344.xml | 1739 | UCICE Kft. | UCICE Magyarország Szórakoztató Korlátolt Felelősségű Társaság
MATCHED:     | 309116398.xml | 6519 | Hírös Sport Szabadidő Létesítményeket Működtető és Szolgáltató Nonprofit Kft. | Hírös Sport Szabadidő Létesítményeket Működtető és Szolgáltató Nonprofit Korlátolt felelősségű társaság
MATCHED:     | 109160911.xml | 7030 | EUROUT Mérnöki és Tanácsadó Szervező és Kereskedelmi Kft. | EUROUT Mérnöki Tanácsadó Szervező és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109930269.xml | 22349 | GSK HOLDING Tanácsadó Korlátolt Felelősségű Társaság | GSK HOLDING Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 409004066.xml | 5129 | Tótkaép Építőipari Kft. | TÓTKAÉP Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 110045020.xml | 1594 | Garay Zrt. | GARAY Ingatlanfejlesztési, Beruházó és Piacüzemeltető Zártkörűen Működő Részvénytársaság
MATCHED:     | 109560161.xml | 1237 | Fékon-Tex Kft. | FÉKON-TEX Kereskedelmi és Szolgáltató Kft.FÉKON-TEX Kereskedelmi és Szolgáltató Kft. felszámolás alatt
MATCHED:     | 109073038.xml | 4090 | Rákos Járműgyártó és Fémipari Kft. | RÁKOS Járműgyártó és Fémipari Korlátolt Felelősségű Társaság
MATCHED:     | 110043471.xml | 7481 | Szaktudás Kiadó Ház Zrt. | Szaktudás Kiadó Ház Kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság
MATCHED:     | 710001367.xml | 5605 | LAM Ingatlanfejlesztő és Építő Zrt. | LAM Ingatlanfejlesztő és Építő Zártkörűen működő Részvénytársaság
MATCHED:     | 109873617.xml | 5638 | ADDICT Interactive Kft. | ADDICT Interactive Marketing Szolgáltató Korlátolt Felelősségű Társaság
